GEOID,Location,POP,Total_Households,Median_HH_Income,Low_Income_HH,Low_Income_Rate,HH_SNAP,SNAP_Rate,Public_Assistance_HH,Public_Assistance_Rate,Children_0_17,Children_0_4,Children_5_17,Child_Dependency_Rate,Elderly_65_Plus,Elderly_65_74,Elderly_75_Plus,Elderly_Dependency_Rate,Total_Dependency_Rate,HH_With_Children,HH_With_Children_Rate,Single_Parent_HH,Single_Parent_Rate,Renter_Occupied,Renter_Rate,Vacant_Housing_Units,Vacancy_Rate,Built_Before_1940,Old_Housing_Rate,Total_Workers,Workers_No_Car,No_Car_Rate,HH_No_Internet,No_Internet_Rate
291892101011,"Block Group, St. Louis County, Missouri",1282,512,78847,49,9.7,33,6.5,10,2.0,230,57,173,18.0,217,128,89,17.0,35.0,143,28.0,40,8.0,158,31.0,40,8.0,0,0.0,512,41,8.0,20,4.0
291892101021,"Block Group, St. Louis County, Missouri",1295,518,91970,50,9.7,33,6.5,10,2.0,233,58,174,18.0,220,129,90,17.0,35.0,145,28.0,41,8.0,160,31.0,41,8.0,0,0.0,518,41,8.0,20,4.0
291892101022,"Block Group, St. Louis County, Missouri",1288,515,58980,49,9.7,33,6.5,10,2.0,231,57,173,18.0,218,128,90,17.0,35.0,144,28.0,41,8.0,159,31.0,41,8.0,0,0.0,515,41,8.0,20,4.0
291892101023,"Block Group, St. Louis County, Missouri",1473,589,77430,57,9.7,38,6.5,11,2.0,265,66,198,18.0,250,147,103,17.0,35.0,164,28.0,47,8.0,182,31.0,47,8.0,0,0.0,589,47,8.0,23,4.0
291892102001,"Block Group, St. Louis County, Missouri",1252,500,83179,48,9.7,32,6.5,10,2.0,225,56,169,18.0,212,125,87,17.0,35.0,140,28.0,40,8.0,155,31.0,40,8.0,0,0.0,500,40,8.0,20,4.0
291892102002,"Block Group, St. Louis County, Missouri",1433,573,98894,55,9.7,37,6.5,11,2.0,257,64,193,18.0,243,143,100,17.0,35.0,160,28.0,45,8.0,177,31.0,45,8.0,0,0.0,573,45,8.0,22,4.0
291892102003,"Block Group, St. Louis County, Missouri",1603,641,83098,62,9.7,41,6.5,12,2.0,288,72,216,18.0,272,160,112,17.0,35.0,179,28.0,51,8.0,198,31.0,51,8.0,0,0.0,641,51,8.0,25,4.0
291892102004,"Block Group, St. Louis County, Missouri",1043,417,66221,40,9.7,27,6.5,8,2.0,187,46,140,18.0,177,104,73,17.0,35.0,116,28.0,33,8.0,129,31.0,33,8.0,0,0.0,417,33,8.0,16,4.0
291892103001,"Block Group, St. Louis County, Missouri",1439,575,101107,55,9.7,37,6.5,11,2.0,259,64,194,18.0,244,143,100,17.0,35.0,161,28.0,46,8.0,178,31.0,46,8.0,0,0.0,575,46,8.0,23,4.0
291892103002,"Block Group, St. Louis County, Missouri",1356,542,79846,52,9.7,35,6.5,10,2.0,244,61,183,18.0,230,135,94,17.0,35.0,151,28.0,43,8.0,168,31.0,43,8.0,0,0.0,542,43,8.0,21,4.0
