site_id,name,type,lat,lon
school_278375770,Kellison Elementary School,school,38.5127507,-90.4941887
school_278375771,Rockwood South Middle School,school,38.5114077,-90.4969628
school_354050832,Clara Barton School,school,38.8902933,-90.1480911
school_354120432,Madison Senior High School,school,38.6822723,-90.1428865
school_354160617,Jackson School,school,38.5008854,-90.1645554
school_354160668,Jerome Elementary School,school,38.5617181,-90.1528879
school_354161026,Saint Teresa Academy,school,38.6128285,-90.1284421
school_354161179,Early Learning Facility Pitzman,school,38.5825514,-90.1803887
school_354161271,East Saint Louis-Lincoln High School,school,38.6143009,-90.1571594
school_354219641,Saint Catherine Leboure School,school,38.5611625,-90.1537213
school_354221444,Harris Elementary School,school,38.682828,-90.1526091
school_354231295,Venice Elementary School,school,38.6613756,-90.1675
school_354231353,Saint Mark School,school,38.6728282,-90.1687208
school_354231362,Saint Marys School,school,38.6856058,-90.1526091
school_354231478,Sacred Heart School,school,38.7086609,-90.131497
school_354231496,Prather Elementary School,school,38.71499,-90.1590238
school_354231790,Lincoln High School,school,38.6617497,-90.1680174
school_354231930,Mark Twain Elementary School,school,38.8906034,-90.130108
school_354231948,Madison Middle School,school,38.686439,-90.143442
school_354231959,Irving Elementary School,school,38.8969926,-90.1928878
school_354232257,East Elementary School,school,38.8953257,-90.1512197
school_354242799,Park Annex Elementary School,school,38.6131063,-90.1284421
school_354242833,Miles D Davis Elementary School,school,38.6267173,-90.1401091
school_354242840,Billy Jones Elementary School,school,38.6175507,-90.1428871
school_354242853,Alta-Sita Elementary School,school,38.6003287,-90.140665
school_354242873,Attucks Elementary School,school,38.604773,-90.1364981
school_354242891,Jackson Elementary School,school,38.6231062,-90.1362201
school_354242902,Huffman Elementary School,school,38.563385,-90.1878891
school_354242949,Lilly-Freeman Elementary School,school,38.617273,-90.1531653
school_354242972,Hughes-Quinn/Rock Junior High School,school,38.6269949,-90.1484041
school_354243066,Penniman Elementary School,school,38.5589404,-90.1678885
school_354243521,Cahokia High School,school,38.5653292,-90.1648327
school_354243542,Donald McHenry Elementary School,school,38.6181062,-90.1228864
school_354243578,Elizabeth Morris Elementary School,school,38.5533849,-90.1742776
school_354258168,Immaculate Conception School,school,38.8908815,-90.1778873
school_354258381,Saint Patricks School,school,38.8908814,-90.1695536
school_354260030,Paul L Dunbar School,school,38.6055284,-90.1527413
school_354260044,Park School,school,38.6136617,-90.1253865
school_354260340,Immaculate Conception School,school,38.6278284,-90.1367757
school_354260517,Saint Josephs School,school,38.6194617,-90.1437172
school_354260538,Saint Elizabeths Parochial School,school,38.613384,-90.1292756
school_354260648,Saint Adalberts School,school,38.6300907,-90.1496944
school_354276253,Dunbar Elementary School,school,38.6046,-90.1519
school_358053534,Saint David School,school,38.4426608,-90.3624308
school_358062070,Leight School,school,38.4392212,-90.4887333
school_358066845,Allenton School,school,38.4989424,-90.6742949
school_358066888,Bayless School,school,38.551997,-90.3009485
school_358066914,Black Jack School,school,38.7853292,-90.5345648
school_358066965,Bonfils School,school,38.7742177,-90.4317841
school_358067001,Brentwood High School,school,38.6213632,-90.3538907
school_358067141,Chesterfield School,school,38.6544972,-90.6359584
school_358067211,Concordia School,school,38.5739398,-90.407338
school_358067366,Douglass High School,school,38.6014413,-90.3567833
school_358067386,Dunbar School,school,38.7403287,-90.3248366
school_358067417,Elm Grove School,school,38.7831061,-90.3567818
school_358067468,Fernridge School,school,38.6837082,-90.4866203
school_358067500,Fort Zumwalt School,school,38.8036631,-90.6973477
school_358067607,Goodal School,school,38.5811637,-90.3553945
school_358067855,Kampville School,school,38.8528282,-90.5292862
school_358068001,Lincoln School,school,38.7789401,-90.4909524
school_358068146,McKnight School,school,38.658663,-90.3548382
school_358068247,Mount Calvary School,school,38.6189412,-90.3584498
school_358068444,Our Lady of Fatima School,school,38.7753282,-90.3106694
school_358068507,Pea Ridge School,school,38.8108825,-90.1953878
school_358068552,Phelps School,school,38.8875496,-90.4731731
school_358068573,Pitman School,school,38.5842196,-90.4059516
school_358068736,Rosary School,school,38.7925505,-90.3745599
school_358068763,Sacred Heart Academy,school,38.7869955,-90.4806743
school_358068768,Sacred Heart School,school,38.5050537,-90.6204041
school_358068773,Saint Aloysius School,school,38.7911605,-90.1909432
school_358068777,Saint Clements School,school,38.6086639,-90.4342857
school_358068829,Saint Joseph School,school,38.7436635,-90.653458
school_358068837,Saint Josephs Convent of Mercy,school,38.5756082,-90.3423386
school_358068846,Saint Louis State Training School,school,38.76755,-90.2292779
school_358068857,Saint Michaels School,school,38.5939413,-90.3306713
school_358068899,Scudder School,school,38.7631065,-90.3767825
school_358069002,Thomas Jefferson School,school,38.5397755,-90.3951184
school_358069021,Turner School,school,38.5653309,-90.4028962
school_358069023,Turner School,school,38.7386613,-90.216222
school_358069094,Vernon School,school,38.7394953,-90.3198364
school_358069135,Walnut Grove School,school,38.8681051,-90.3753929
school_358069141,Washington Park School,school,38.5664417,-90.3559502
school_358069216,Wright School,school,38.6336635,-90.4131737
school_358069247,Zion School,school,38.7148823,-90.4406061
school_358069251,Zion School,school,38.7419965,-90.5854003
school_358069373,Maple School,school,38.8992174,-90.675957
school_358069826,Franklin School,school,38.7878288,-90.4803965
school_358069869,Lea Ridge School,school,38.7586637,-90.7117931
school_358069872,Baldwin School,school,38.8611619,-90.6115109
school_358069911,Smelzer Lake School,school,38.8919931,-90.2612232
school_358069926,Cul de Sac School,school,38.8339391,-90.4353948
school_358069930,Garrett School,school,38.7808841,-90.4081722
school_358069933,Hyatt Valley School,school,38.82005,-90.34067
school_358070183,Fordyce House,school,38.4458867,-90.2978939
school_358070209,Queen of All Saints School,school,38.4429786,-90.307757
school_358070259,Wohlwend School,school,38.4590598,-90.3045605
school_358083529,Longfellow School,school,38.6072743,-90.3045593
school_358083634,Peace School,school,38.5072752,-90.295671
school_358083640,Principia College,school,38.6635177,-90.2762879
